Position,P0_A,P0_C,P0_G,P0_T,P0_Coverage,P0_Entropy,P5_A,P5_C,P5_G,P5_T,P5_Coverage,P5_Entropy,P7_A,P7_C,P7_G,P7_T,P7_Coverage,P7_Entropy,P10_A,P10_C,P10_G,P10_T,P10_Coverage,P10_Entropy,P15_A,P15_C,P15_G,P15_T,P15_Coverage,P15_Entropy,P18_A,P18_C,P18_G,P18_T,P18_Coverage,P18_Entropy,P20_A,P20_C,P20_G,P20_T,P20_Coverage,P20_Entropy,R2_P20_A,R2_P20_C,R2_P20_G,R2_P20_T,R2_P20_Coverage,R2_P20_Entropy,R3_P20_A,R3_P20_C,R3_P20_G,R3_P20_T,R3_P20_Coverage,R3_P20_Entropy,R4_P20_A,R4_P20_C,R4_P20_G,R4_P20_T,R4_P20_Coverage,R4_P20_Entropy,Group
53,0.04,99.88,0.01,0.07,140065,0.01,0.03,99.91,0.01,0.06,197153,0.01,0.03,99.94,0,0.03,48834,0.01,0.02,99.93,0,0.05,52782,0.01,0.04,99.89,0.01,0.06,51796,0.01,0.04,99.92,0.01,0.03,33558,0.01,0.02,99.91,0.01,0.06,128118,0.01,0.03,99.88,0.01,0.08,212153,0.01,0.03,99.94,0,0.02,54104,0.01,0.05,99.86,0.01,0.08,186827,0.02,R1_Ribp_UVm
54,99.64,0.11,0.1,0.15,140139,0.04,99.65,0.09,0.11,0.15,197253,0.04,99.86,0.08,0.01,0.04,48851,0.02,99.91,0.06,0,0.03,52804,0.01,99.83,0.11,0.03,0.03,51816,0.02,99.82,0.13,0.01,0.04,33571,0.02,99.66,0.1,0.1,0.15,128163,0.04,99.62,0.14,0.1,0.14,212244,0.04,99.84,0.11,0.02,0.04,54130,0.02,99.58,0.17,0.11,0.15,186922,0.05,R1_Ribp_UVm
55,0.23,99.58,0.08,0.12,140443,0.05,0.15,99.68,0.09,0.08,197578,0.04,0.14,99.84,0,0.01,48930,0.02,0.11,99.86,0,0.03,52854,0.02,0.23,99.75,0,0.03,51882,0.03,0.21,99.71,0.01,0.07,33629,0.03,0.16,99.65,0.09,0.09,128330,0.04,0.26,99.58,0.08,0.08,212590,0.04,0.23,99.73,0,0.04,54212,0.03,0.26,99.54,0.09,0.11,187227,0.05,R1_Ribp_UVm
56,0.01,0.02,0.22,99.76,140581,0.03,0.01,0.02,0.12,99.85,197670,0.02,0.02,0.02,0.17,99.79,48950,0.02,0.04,0.03,0.13,99.81,52877,0.02,0.03,0.03,0.22,99.73,51911,0.03,0.02,0.02,0.25,99.7,33661,0.03,0.01,0.02,0.18,99.79,128411,0.02,0.01,0.02,0.26,99.7,212819,0.03,0.02,0.03,0.27,99.69,54272,0.03,0.02,0.03,0.29,99.67,187450,0.03,R1_Ribp_UVm
57,0.08,0.08,99.62,0.22,141211,0.04,0.07,0.08,99.65,0.2,198355,0.04,0.01,0.03,99.82,0.13,49116,0.02,0.02,0.02,99.84,0.12,53005,0.02,0.03,0.03,99.81,0.13,52048,0.02,0.02,0.07,99.8,0.11,33811,0.02,0.07,0.06,99.68,0.19,128875,0.04,0.08,0.06,99.67,0.2,213931,0.04,0.02,0.03,99.88,0.07,54586,0.01,0.07,0.07,99.63,0.22,188606,0.04,R1_Ribp_UVm
58,0.02,0.06,99.78,0.14,141603,0.03,0.02,0.04,99.82,0.11,198553,0.02,0.02,0.03,99.91,0.03,49185,0.01,0.02,0.01,99.87,0.09,53045,0.02,0.01,0.04,99.86,0.09,52144,0.02,0.03,0.03,99.87,0.07,33963,0.02,0.03,0.03,99.82,0.12,129120,0.02,0.03,0.03,99.82,0.12,215188,0.02,0.02,0.03,99.89,0.06,54876,0.01,0.03,0.05,99.8,0.12,189692,0.02,R1_Ribp_UVm
59,0.12,0.06,0.08,99.74,142084,0.03,0.09,0.05,0.04,99.82,198728,0.02,0.06,0.04,0.03,99.87,49211,0.02,0.03,0.02,0.02,99.93,53087,0.01,0.09,0.05,0.03,99.83,52304,0.02,0.2,0.09,0.09,99.62,34159,0.04,0.04,0.05,0.04,99.86,129423,0.02,0.16,0.08,0.08,99.68,217656,0.04,0.21,0.09,0.08,99.62,55388,0.04,0.17,0.09,0.1,99.65,191515,0.04,R1_Ribp_UVm
60,99.76,0.05,0.1,0.1,142246,0.03,99.74,0.05,0.09,0.13,198790,0.03,99.93,0.01,0.02,0.03,49218,0.01,99.95,0.02,0.02,0.02,53095,0.01,99.94,0.02,0.02,0.03,52325,0.01,99.94,0.02,0.01,0.03,34203,0.01,99.73,0.06,0.1,0.11,129480,0.03,99.74,0.06,0.09,0.11,218246,0.03,99.94,0.02,0.01,0.03,55527,0.01,99.75,0.05,0.09,0.12,191998,0.03,R1_Ribp_UVm
61,0.01,0.03,0.01,99.95,142328,0.01,0.02,0.02,0.01,99.96,198825,0.01,0.02,0.02,0,99.97,49226,0,0.01,0.01,0,99.97,53108,0,0.01,0.02,0.01,99.97,52341,0,0.02,0.04,0,99.94,34227,0.01,0.01,0.01,0.01,99.97,129513,0,0.01,0.03,0.01,99.95,218359,0.01,0.01,0.02,0,99.96,55549,0.01,0.02,0.04,0.01,99.93,192163,0.01,R1_Ribp_UVm
62,0.07,99.71,0.07,0.15,142469,0.03,0.06,99.71,0.08,0.14,198884,0.03,0.02,99.94,0,0.05,49231,0.01,0.01,99.92,0,0.07,53113,0.01,0.01,99.94,0.01,0.04,52371,0.01,0.01,99.94,0,0.05,34252,0.01,0.07,99.72,0.07,0.14,129547,0.03,0.07,99.71,0.09,0.14,218525,0.03,0.01,99.92,0.01,0.06,55604,0.01,0.06,99.71,0.08,0.15,192380,0.03,R1_Ribp_UVm
63,99.68,0.03,0.16,0.12,143242,0.04,99.74,0.05,0.09,0.12,199562,0.03,99.82,0.06,0.08,0.04,49327,0.02,99.81,0.04,0.09,0.05,53172,0.02,99.86,0.03,0.09,0.02,52634,0.02,99.82,0.05,0.1,0.03,34433,0.02,99.77,0.03,0.08,0.13,129854,0.03,99.73,0.04,0.13,0.11,220339,0.03,99.84,0.03,0.1,0.04,55970,0.02,99.73,0.04,0.11,0.12,195565,0.03,R1_Ribp_UVm
64,0.03,99.7,0.01,0.26,144215,0.03,0.01,99.82,0.01,0.16,200835,0.02,0.01,99.88,0,0.1,49524,0.01,0.02,99.87,0,0.11,53272,0.02,0.01,99.87,0,0.11,52795,0.01,0.02,99.87,0.01,0.1,34608,0.02,0.01,99.8,0.01,0.17,130120,0.02,0.02,99.79,0.01,0.18,221267,0.02,0.01,99.85,0.01,0.14,56172,0.02,0.02,99.77,0.02,0.2,196896,0.03,R1_Ribp_UVm
65,0.16,0.03,99.65,0.16,144313,0.04,0.1,0.03,99.7,0.16,200949,0.03,0.08,0.04,99.82,0.06,49554,0.02,0.1,0.02,99.82,0.06,53288,0.02,0.12,0.03,99.77,0.09,52821,0.03,0.14,0.06,99.69,0.1,34627,0.03,0.12,0.03,99.7,0.15,130154,0.03,0.11,0.03,99.72,0.15,221405,0.03,0.12,0.02,99.77,0.09,56196,0.03,0.13,0.04,99.67,0.16,197071,0.04,R1_Ribp_UVm
66,0.06,0.02,99.82,0.1,144440,0.02,0.03,0.02,99.82,0.13,201021,0.02,0.03,0,99.94,0.04,49564,0.01,0.09,0.01,99.87,0.04,53304,0.02,0.07,0.01,99.9,0.02,52853,0.01,0.05,0.01,99.88,0.06,34649,0.02,0.07,0.02,99.77,0.14,130212,0.03,0.06,0.02,99.79,0.12,221582,0.02,0.06,0.02,99.88,0.04,56237,0.02,0.06,0.03,99.77,0.14,197247,0.03,R1_Ribp_UVm
67,0.02,0.13,0.03,99.82,144605,0.02,0.02,0.21,0.03,99.75,201204,0.03,0.03,0.17,0.05,99.75,49588,0.03,0.03,0.15,0.04,99.78,53318,0.03,0.01,0.12,0.03,99.84,52905,0.02,0.03,0.11,0.05,99.81,34678,0.02,0.02,0.12,0.03,99.83,130280,0.02,0.02,0.1,0.03,99.85,221816,0.02,0.03,0.1,0.03,99.84,56277,0.02,0.02,0.11,0.03,99.84,197512,0.02,R1_Ribp_UVm
68,99.75,0.05,0.12,0.09,144655,0.03,99.78,0.06,0.07,0.09,201256,0.03,99.89,0.02,0.04,0.05,49595,0.01,99.81,0.03,0.13,0.04,53325,0.02,99.84,0.03,0.1,0.03,52923,0.02,99.8,0.03,0.11,0.05,34688,0.02,99.77,0.06,0.1,0.07,130304,0.03,99.77,0.05,0.09,0.09,221912,0.03,99.83,0.03,0.1,0.04,56297,0.02,99.77,0.05,0.09,0.08,197627,0.03,R1_Ribp_UVm
69,0.08,99.57,0.1,0.25,144742,0.05,0.07,99.6,0.11,0.23,201350,0.04,0.04,99.88,0.01,0.07,49610,0.01,0.02,99.87,0.01,0.1,53343,0.02,0.02,99.87,0.01,0.1,52945,0.02,0.01,99.9,0.02,0.07,34707,0.01,0.05,99.64,0.12,0.2,130356,0.04,0.05,99.65,0.11,0.2,222069,0.04,0.02,99.9,0.01,0.07,56314,0.01,0.06,99.64,0.09,0.21,197777,0.04,R1_Ribp_UVm
70,0.04,99.64,0.02,0.3,144776,0.04,0.03,99.83,0.02,0.13,201396,0.02,0.01,99.91,0.01,0.07,49627,0.01,0.01,99.91,0,0.07,53353,0.01,0.02,99.93,0.01,0.04,52953,0.01,0.02,99.92,0.01,0.05,34719,0.01,0.03,99.85,0.02,0.1,130384,0.02,0.03,99.84,0.02,0.11,222138,0.02,0.02,99.9,0.01,0.07,56325,0.01,0.03,99.83,0.02,0.12,197837,0.02,R1_Ribp_UVm
71,0.02,0.17,0.03,99.78,144796,0.02,0.02,0.18,0.02,99.78,201413,0.02,0.02,0.21,0.01,99.77,49630,0.02,0.01,0.22,0.02,99.76,53356,0.03,0.02,0.19,0,99.79,52953,0.02,0.02,0.14,0.01,99.83,34722,0.02,0.02,0.19,0.02,99.77,130394,0.03,0.03,0.17,0.02,99.78,222171,0.02,0.01,0.2,0.01,99.78,56336,0.02,0.02,0.13,0.03,99.82,197872,0.02,R1_Ribp_UVm
72,0.02,0.18,0.02,99.77,144831,0.03,0.01,0.14,0.01,99.84,201435,0.02,0.01,0.12,0,99.87,49637,0.02,0.01,0.14,0.01,99.84,53361,0.02,0.01,0.12,0.02,99.85,52970,0.02,0.01,0.1,0.01,99.89,34730,0.01,0.02,0.13,0.01,99.84,130406,0.02,0.01,0.13,0.02,99.84,222210,0.02,0.02,0.13,0.02,99.84,56343,0.02,0.01,0.13,0.02,99.84,197918,0.02,R1_Ribp_UVm
73,0.02,0.15,0.01,99.82,144849,0.02,0.01,0.07,0.01,99.92,201453,0.01,0.01,0.07,0.01,99.92,49650,0.01,0.01,0.11,0.01,99.87,53372,0.01,0,0.1,0,99.9,52976,0.01,0.01,0.11,0.03,99.86,34732,0.02,0.01,0.1,0.01,99.88,130413,0.01,0.01,0.1,0.01,99.88,222263,0.01,0.01,0.11,0.01,99.87,56356,0.01,0.01,0.11,0.01,99.87,197951,0.01,R1_Ribp_UVm
74,0.13,0.02,99.7,0.15,144875,0.03,0.11,0.02,99.64,0.23,201471,0.04,0.11,0.01,99.72,0.17,49655,0.03,0.05,0.01,99.8,0.14,53377,0.02,0.07,0.01,99.82,0.1,52984,0.02,0.1,0.01,99.75,0.14,34739,0.03,0.07,0.02,99.74,0.16,130424,0.03,0.08,0.03,99.71,0.19,222313,0.03,0.07,0.01,99.83,0.09,56373,0.02,0.08,0.02,99.69,0.21,197993,0.03,R1_Ribp_UVm
75,0.02,0.13,0.01,99.84,144923,0.02,0.01,0.09,0,99.89,201500,0.01,0.01,0.07,0,99.91,49666,0.01,0.03,0.17,0.01,99.79,53384,0.02,0.02,0.11,0,99.87,53005,0.02,0.01,0.08,0.01,99.89,34757,0.01,0.01,0.11,0.01,99.87,130466,0.02,0.02,0.09,0.01,99.88,222438,0.01,0.03,0.1,0,99.87,56385,0.02,0.02,0.08,0.01,99.89,198116,0.01,R1_Ribp_UVm
76,0.15,0.02,99.67,0.17,144943,0.04,0.25,0.02,99.52,0.21,201529,0.05,0.23,0.01,99.66,0.1,49676,0.04,0.07,0.01,99.81,0.1,53391,0.02,0.08,0.02,99.83,0.07,53022,0.02,0.08,0.02,99.77,0.13,34772,0.03,0.08,0.03,99.72,0.17,130476,0.03,0.09,0.03,99.71,0.17,222496,0.03,0.09,0.01,99.84,0.06,56398,0.02,0.09,0.03,99.69,0.2,198162,0.03,R1_Ribp_UVm
77,0.03,99.64,0.04,0.3,145012,0.04,0.03,99.67,0.02,0.28,201574,0.03,0.02,99.63,0.01,0.35,49684,0.04,0.03,99.81,0.03,0.13,53402,0.02,0.02,99.78,0.04,0.17,53047,0.03,0.03,99.75,0.03,0.19,34788,0.03,0.03,99.7,0.03,0.25,130541,0.03,0.03,99.26,0.02,0.7,222648,0.07,0.01,99.73,0.02,0.24,56416,0.03,0.03,99.72,0.03,0.22,198313,0.03,R1_Ribp_UVm
78,0.24,0.04,99.58,0.15,145038,0.05,0.25,0.04,99.55,0.16,201604,0.05,0.2,0.03,99.73,0.04,49699,0.03,0.14,0.04,99.75,0.07,53412,0.03,0.11,0.02,99.79,0.07,53064,0.02,0.14,0.01,99.81,0.05,34797,0.02,0.2,0.04,99.58,0.18,130561,0.05,0.18,0.04,99.61,0.16,222706,0.04,0.14,0.02,99.8,0.04,56429,0.02,0.19,0.04,99.61,0.17,198363,0.04,R1_Ribp_UVm
79,0.02,99.79,0.03,0.16,145073,0.02,0.02,99.85,0.02,0.11,201640,0.02,0.01,99.9,0.01,0.08,49712,0.01,0.02,99.91,0.02,0.05,53425,0.01,0.01,99.91,0.02,0.06,53086,0.01,0.01,99.86,0.01,0.11,34806,0.02,0.02,99.86,0.02,0.1,130584,0.02,0.01,99.87,0.03,0.09,222772,0.02,0.01,99.88,0.03,0.08,56455,0.01,0.02,99.86,0.02,0.1,198399,0.02,R1_Ribp_UVm
80,0.02,99.84,0.01,0.13,145096,0.02,0.01,99.93,0.01,0.05,201672,0.01,0.01,99.96,0,0.02,49723,0,0.01,99.94,0,0.05,53433,0.01,0.02,99.94,0.01,0.03,53109,0.01,0.01,99.97,0.01,0.01,34808,0,0.02,99.9,0.02,0.07,130599,0.01,0.02,99.9,0.01,0.07,222811,0.01,0,99.94,0.01,0.05,56471,0.01,0.03,99.89,0.01,0.07,198416,0.01,R1_Ribp_UVm
81,0.01,0.15,0.02,99.82,145127,0.02,0.01,0.14,0.01,99.83,201695,0.02,0.01,0.11,0.01,99.87,49734,0.02,0.02,0.18,0.01,99.8,53440,0.02,0.01,0.1,0.02,99.87,53131,0.02,0.01,0.15,0.01,99.83,34825,0.02,0.01,0.14,0.01,99.83,130616,0.02,0.01,0.11,0.01,99.87,222839,0.02,0.01,0.14,0.02,99.83,56481,0.02,0.01,0.14,0.01,99.84,198441,0.02,R1_Ribp_UVm
82,0.06,0.01,99.88,0.05,145164,0.01,0.03,0.01,99.89,0.07,201724,0.01,0.03,0,99.92,0.04,49743,0.01,0.05,0,99.91,0.04,53449,0.01,0.06,0,99.91,0.03,53145,0.01,0.04,0,99.9,0.06,34832,0.01,0.05,0.01,99.87,0.07,130634,0.02,0.05,0.01,99.89,0.06,222878,0.01,0.03,0,99.94,0.03,56505,0.01,0.06,0.01,99.87,0.06,198478,0.02,R1_Ribp_UVm
83,0.08,0.27,0.1,99.56,145203,0.05,0.07,0.23,0.09,99.61,201750,0.04,0.01,0.17,0.03,99.78,49751,0.02,0.03,0.18,0.04,99.75,53464,0.03,0.02,0.17,0.04,99.77,53164,0.03,0.03,0.19,0.04,99.74,34840,0.03,0.07,0.23,0.1,99.6,130662,0.04,0.07,0.21,0.09,99.63,222930,0.04,0.02,0.17,0.03,99.79,56518,0.02,0.08,0.2,0.09,99.63,198511,0.04,R1_Ribp_UVm
84,0.02,0.15,0.02,99.8,145223,0.02,0.01,0.05,0.02,99.92,201770,0.01,0.01,0.05,0.02,99.92,49758,0.01,0.01,0.12,0.03,99.83,53479,0.02,0.01,0.05,0.02,99.91,53180,0.01,0.02,0.13,0.03,99.82,34849,0.02,0.02,0.12,0.03,99.84,130675,0.02,0.02,0.11,0.02,99.86,222958,0.02,0.02,0.1,0.03,99.86,56534,0.02,0.01,0.12,0.02,99.85,198532,0.02,R1_Ribp_UVm
85,0.04,0.17,0.02,99.78,145254,0.03,0.01,0.1,0.01,99.88,201788,0.01,0.01,0.07,0.01,99.92,49771,0.01,0.01,0.17,0.02,99.8,53497,0.02,0.01,0.07,0.01,99.92,53197,0.01,0.03,0.11,0,99.87,34856,0.02,0.02,0.15,0.01,99.82,130690,0.02,0.01,0.13,0.02,99.84,222993,0.02,0.01,0.13,0.02,99.85,56551,0.02,0.02,0.12,0.02,99.84,198550,0.02,R1_Ribp_UVm
86,0.02,0.12,0.02,99.84,145274,0.02,0,0.04,0.02,99.94,201803,0.01,0,0.03,0.01,99.96,49774,0.01,0,0.07,0.01,99.92,53510,0.01,0,0.05,0.01,99.95,53215,0.01,0.01,0.05,0.01,99.94,34859,0.01,0.01,0.08,0.02,99.89,130704,0.01,0.01,0.07,0.02,99.9,223028,0.01,0,0.08,0,99.92,56568,0.01,0,0.08,0.02,99.91,198564,0.01,R1_Ribp_UVm
87,99.77,0.01,0.14,0.08,145298,0.03,99.85,0.01,0.08,0.06,201844,0.02,99.88,0.01,0.05,0.07,49788,0.01,99.8,0.02,0.15,0.04,53524,0.02,99.83,0.01,0.09,0.07,53229,0.02,99.8,0.01,0.14,0.05,34867,0.02,99.83,0.01,0.1,0.06,130718,0.02,99.83,0.01,0.1,0.06,223072,0.02,99.87,0.01,0.08,0.04,56582,0.02,99.82,0.02,0.1,0.06,198585,0.02,R1_Ribp_UVm
88,0.02,0.16,0,99.82,145341,0.02,0.01,0.12,0.01,99.87,201893,0.02,0.02,0.1,0,99.88,49810,0.01,0.01,0.14,0.01,99.85,53544,0.02,0.03,0.17,0.01,99.8,53249,0.02,0.04,0.14,0,99.81,34889,0.02,0.02,0.26,0.01,99.71,130752,0.03,0.01,0.14,0,99.85,223141,0.02,0.01,0.11,0,99.87,56601,0.02,0.03,0.09,0.01,99.87,198629,0.02,R1_Ribp_UVm
89,99.77,0.04,0.14,0.06,145392,0.03,99.79,0.04,0.12,0.05,201952,0.02,99.8,0.03,0.12,0.04,49822,0.02,99.8,0.04,0.13,0.03,53558,0.02,99.77,0.02,0.12,0.1,53264,0.03,99.74,0.03,0.15,0.08,34896,0.03,99.75,0.04,0.14,0.07,130775,0.03,99.78,0.04,0.14,0.04,223213,0.03,99.79,0.03,0.14,0.04,56627,0.02,99.77,0.04,0.14,0.05,198660,0.03,R1_Ribp_UVm
90,0.11,99.35,0.12,0.42,145425,0.07,1.53,97.93,0.14,0.4,201989,0.17,10.92,88.78,0.03,0.27,49841,0.53,14.82,84.84,0.04,0.29,53566,0.64,11.3,88.48,0.01,0.21,53286,0.53,9.05,90.63,0.03,0.29,34912,0.47,21,78.56,0.14,0.3,130797,0.78,0.07,99.58,0.12,0.22,223263,0.05,0.03,99.29,0.01,0.66,56636,0.06,0.1,99.32,0.12,0.47,198703,0.07,R1_Ribp_UVm
91,0.1,99.42,0.03,0.44,145473,0.06,0.04,99.68,0.03,0.25,202036,0.03,0.03,99.8,0,0.16,49858,0.02,0.04,99.76,0.01,0.19,53590,0.03,0.05,99.77,0,0.18,53305,0.02,0.04,99.75,0.02,0.19,34925,0.03,0.06,99.67,0.03,0.25,130824,0.04,0.04,99.74,0.03,0.2,223323,0.03,0.03,99.79,0.02,0.16,56658,0.02,0.05,99.46,0.03,0.47,198746,0.05,R1_Ribp_UVm
92,0.08,99.62,0.02,0.28,145523,0.04,0.07,99.78,0.02,0.13,202098,0.03,0.04,99.86,0.01,0.1,49891,0.02,0.05,99.84,0.01,0.1,53613,0.02,0.05,99.88,0.01,0.06,53330,0.01,0.05,99.81,0.02,0.12,34953,0.02,0.06,99.77,0.02,0.15,130863,0.03,0.06,99.81,0.02,0.12,223401,0.02,0.05,99.86,0.02,0.07,56693,0.02,0.06,99.81,0.02,0.11,198795,0.02,R1_Ribp_UVm
93,0.12,99.61,0.09,0.19,145557,0.04,0.1,99.66,0.09,0.14,202141,0.04,0.03,99.92,0.01,0.04,49902,0.01,0.04,99.87,0,0.09,53635,0.02,0.03,99.89,0.01,0.07,53347,0.01,0.02,99.88,0,0.09,34967,0.01,0.11,99.64,0.07,0.19,130893,0.04,0.11,99.67,0.07,0.15,223454,0.04,0.05,99.85,0,0.1,56716,0.02,0.09,99.68,0.08,0.16,198833,0.04,R1_Ribp_UVm
94,0.03,99.65,0.01,0.31,145591,0.04,0.03,99.88,0.01,0.09,202170,0.01,0.02,99.88,0,0.09,49912,0.01,0.02,99.9,0,0.08,53643,0.01,0.01,99.86,0,0.13,53365,0.02,0.04,99.84,0,0.12,34978,0.02,0.02,99.84,0.01,0.12,130912,0.02,0.02,99.86,0.01,0.1,223507,0.02,0.02,99.83,0.01,0.14,56723,0.02,0.02,99.79,0.02,0.18,198870,0.02,R1_Ribp_UVm
95,0.08,0.23,0.09,99.6,145635,0.04,0.07,0.21,0.11,99.6,202205,0.04,0,0.16,0.01,99.83,49930,0.02,0.02,0.22,0.01,99.74,53663,0.03,0,0.21,0.01,99.77,53386,0.02,0.02,0.26,0.02,99.69,34983,0.03,0.08,0.37,0.09,99.46,130932,0.06,0.08,0.21,0.1,99.61,223572,0.04,0.02,0.14,0.05,99.79,56742,0.02,0.07,0.26,0.1,99.56,198904,0.05,R1_Ribp_UVm
96,0.04,0.24,0.02,99.7,145692,0.03,0.02,0.27,0.01,99.7,202256,0.03,0.01,0.22,0.01,99.76,49954,0.03,0.02,0.2,0.02,99.76,53678,0.03,0.04,0.18,0.01,99.77,53399,0.03,0.02,0.2,0.01,99.78,34987,0.02,0.03,0.24,0.02,99.72,130962,0.03,0.05,0.15,0.01,99.79,223661,0.02,0.05,0.16,0.02,99.77,56773,0.03,0.02,0.19,0.01,99.77,198974,0.02,R1_Ribp_UVm
