Position,P0_A,P0_C,P0_G,P0_T,P0_Coverage,P0_Entropy,P5_A,P5_C,P5_G,P5_T,P5_Coverage,P5_Entropy,P7_A,P7_C,P7_G,P7_T,P7_Coverage,P7_Entropy,P10_A,P10_C,P10_G,P10_T,P10_Coverage,P10_Entropy,P15_A,P15_C,P15_G,P15_T,P15_Coverage,P15_Entropy,P18_A,P18_C,P18_G,P18_T,P18_Coverage,P18_Entropy,P20_A,P20_C,P20_G,P20_T,P20_Coverage,P20_Entropy,R2_P20_A,R2_P20_C,R2_P20_G,R2_P20_T,R2_P20_Coverage,R2_P20_Entropy,R3_P20_A,R3_P20_C,R3_P20_G,R3_P20_T,R3_P20_Coverage,R3_P20_Entropy,R4_P20_A,R4_P20_C,R4_P20_G,R4_P20_T,R4_P20_Coverage,R4_P20_Entropy,Group
53,0.04,99.88,0.01,0.07,140065,0.01,0.04,99.89,0.01,0.05,144024,0.01,0.04,99.89,0.01,0.06,177911,0.01,0.01,99.95,0,0.04,54763,0.01,0.03,99.88,0.01,0.08,163682,0.01,0.06,99.85,0.02,0.07,122838,0.02,0.02,99.89,0.01,0.08,166930,0.01,0.04,99.9,0,0.06,61989,0.01,0.05,99.86,0.01,0.08,198729,0.02,0.05,99.91,0,0.04,29792,0.01,R1_Ribp_UVp
54,99.64,0.11,0.1,0.15,140139,0.04,99.63,0.1,0.1,0.17,144091,0.04,99.64,0.14,0.09,0.14,177992,0.04,99.86,0.09,0.01,0.04,54776,0.02,99.61,0.12,0.12,0.15,163772,0.04,99.58,0.18,0.1,0.14,122916,0.05,99.67,0.07,0.11,0.15,166984,0.04,99.81,0.14,0.01,0.04,62022,0.02,99.57,0.16,0.11,0.17,198830,0.05,99.84,0.11,0.01,0.04,29805,0.02,R1_Ribp_UVp
55,0.23,99.58,0.08,0.12,140443,0.05,0.16,99.66,0.09,0.09,144337,0.04,0.25,99.58,0.09,0.08,178295,0.05,0.1,99.88,0,0.02,54834,0.01,0.23,99.6,0.08,0.09,164102,0.04,0.27,99.52,0.1,0.11,123246,0.05,0.13,99.68,0.09,0.1,167185,0.04,0.23,99.73,0,0.03,62136,0.03,0.27,99.53,0.09,0.11,199223,0.05,0.19,99.77,0,0.04,29857,0.03,R1_Ribp_UVp
56,0.01,0.02,0.22,99.76,140581,0.03,0.01,0.02,0.16,99.81,144414,0.02,0.02,0.03,0.24,99.71,178461,0.03,0.02,0.01,0.21,99.76,54870,0.03,0.01,0.02,0.23,99.73,164296,0.03,0.02,0.03,0.27,99.68,123429,0.03,0.01,0.02,0.15,99.82,167265,0.02,0.03,0.02,0.33,99.62,62202,0.04,0.02,0.02,0.29,99.68,199472,0.03,0.04,0.05,0.25,99.66,29896,0.04,R1_Ribp_UVp
57,0.08,0.08,99.62,0.22,141211,0.04,0.08,0.08,99.64,0.21,145036,0.04,0.07,0.07,99.59,0.27,179294,0.04,0.02,0.02,99.85,0.1,55035,0.02,0.08,0.05,99.61,0.25,165086,0.04,0.08,0.1,99.45,0.37,124069,0.06,0.07,0.05,99.65,0.22,167925,0.04,0.01,0.05,99.82,0.12,62478,0.02,0.09,0.08,99.58,0.26,200639,0.04,0.02,0.04,99.82,0.12,30077,0.02,R1_Ribp_UVp
58,0.02,0.06,99.78,0.14,141603,0.03,0.02,0.04,99.81,0.13,145238,0.02,0.03,0.05,99.81,0.12,180034,0.02,0.03,0.02,99.9,0.05,55113,0.01,0.03,0.03,99.81,0.13,165633,0.02,0.03,0.07,99.76,0.14,124719,0.03,0.02,0.04,99.8,0.14,168202,0.02,0.02,0.03,99.89,0.05,62732,0.01,0.03,0.04,99.79,0.14,201886,0.02,0.02,0.03,99.9,0.05,30253,0.01,R1_Ribp_UVp
59,0.12,0.06,0.08,99.74,142084,0.03,0.08,0.05,0.05,99.83,145396,0.02,0.14,0.08,0.07,99.7,181162,0.03,0.06,0.05,0.04,99.84,55201,0.02,0.11,0.05,0.07,99.76,166479,0.03,0.22,0.09,0.12,99.57,125458,0.05,0.04,0.04,0.03,99.89,168509,0.01,0.2,0.06,0.1,99.64,63275,0.04,0.2,0.08,0.1,99.62,204235,0.04,0.19,0.08,0.14,99.58,30602,0.05,R1_Ribp_UVp
60,99.76,0.05,0.1,0.1,142246,0.03,99.74,0.05,0.09,0.12,145441,0.03,99.74,0.06,0.08,0.11,181380,0.03,99.93,0.02,0.01,0.04,55214,0.01,99.72,0.07,0.09,0.12,166640,0.03,99.71,0.07,0.09,0.12,125589,0.03,99.72,0.07,0.09,0.12,168581,0.03,99.95,0.02,0.01,0.02,63466,0.01,99.73,0.07,0.09,0.11,204880,0.03,99.95,0.01,0.01,0.03,30699,0.01,R1_Ribp_UVp
61,0.01,0.03,0.01,99.95,142328,0.01,0.02,0.02,0.01,99.95,145476,0.01,0.02,0.03,0,99.95,181522,0.01,0.01,0.01,0,99.98,55220,0,0.02,0.02,0.01,99.95,166728,0.01,0.03,0.05,0.01,99.91,125653,0.01,0.01,0.01,0.01,99.97,168609,0,0.02,0.03,0,99.95,63509,0.01,0.02,0.05,0.01,99.92,205072,0.01,0.02,0.06,0,99.92,30717,0.01,R1_Ribp_UVp
62,0.07,99.71,0.07,0.15,142469,0.03,0.07,99.69,0.08,0.16,145520,0.03,0.06,99.68,0.09,0.16,181675,0.04,0,99.95,0.01,0.04,55244,0.01,0.07,99.67,0.09,0.16,166843,0.04,0.07,99.67,0.09,0.17,125737,0.04,0.07,99.71,0.08,0.14,168642,0.03,0.01,99.94,0,0.05,63579,0.01,0.07,99.69,0.08,0.15,205397,0.03,0.01,99.93,0.01,0.05,30751,0.01,R1_Ribp_UVp
63,99.68,0.03,0.16,0.12,143242,0.04,99.74,0.06,0.08,0.12,146168,0.03,99.69,0.07,0.1,0.15,183225,0.04,99.82,0.04,0.1,0.03,55398,0.02,99.73,0.05,0.1,0.12,168397,0.03,99.66,0.09,0.1,0.14,126684,0.04,99.73,0.03,0.1,0.13,168904,0.03,99.82,0.04,0.1,0.04,64386,0.02,99.7,0.05,0.11,0.15,208486,0.03,99.83,0.04,0.11,0.03,31016,0.02,R1_Ribp_UVp
64,0.03,99.7,0.01,0.26,144215,0.03,0.01,99.86,0.01,0.12,146898,0.02,0.03,99.82,0.01,0.14,184567,0.02,0.01,99.89,0,0.1,55479,0.01,0.01,99.8,0.02,0.17,169155,0.02,0.02,99.82,0.01,0.14,127613,0.02,0.02,99.8,0.02,0.16,169236,0.02,0.02,99.86,0.01,0.11,64823,0.02,0.02,99.81,0.02,0.16,210274,0.02,0.01,99.87,0,0.12,31170,0.01,R1_Ribp_UVp
65,0.16,0.03,99.65,0.16,144313,0.04,0.1,0.03,99.7,0.16,146961,0.03,0.13,0.05,99.68,0.14,184716,0.04,0.1,0.03,99.81,0.06,55497,0.02,0.13,0.04,99.67,0.16,169222,0.04,0.15,0.07,99.6,0.18,127716,0.04,0.13,0.04,99.64,0.19,169272,0.04,0.14,0.04,99.77,0.06,64869,0.03,0.16,0.04,99.63,0.16,210494,0.04,0.11,0.04,99.77,0.08,31194,0.03,R1_Ribp_UVp
66,0.06,0.02,99.82,0.1,144440,0.02,0.05,0.02,99.82,0.11,147010,0.02,0.05,0.02,99.79,0.13,184867,0.02,0.08,0.01,99.87,0.05,55518,0.02,0.07,0.02,99.76,0.15,169343,0.03,0.08,0.02,99.74,0.15,127825,0.03,0.06,0.02,99.79,0.13,169332,0.02,0.06,0.01,99.9,0.03,64925,0.01,0.07,0.03,99.75,0.16,210721,0.03,0.1,0,99.85,0.04,31219,0.02,R1_Ribp_UVp
67,0.02,0.13,0.03,99.82,144605,0.02,0.02,0.24,0.04,99.7,147110,0.03,0.03,0.12,0.05,99.8,185062,0.02,0.02,0.14,0.05,99.8,55535,0.02,0.02,0.11,0.03,99.83,169535,0.02,0.02,0.11,0.07,99.8,127959,0.02,0.02,0.13,0.02,99.83,169407,0.02,0.02,0.08,0.03,99.86,64987,0.02,0.02,0.13,0.04,99.82,211014,0.02,0.03,0.08,0.03,99.87,31247,0.02,R1_Ribp_UVp
68,99.75,0.05,0.12,0.09,144655,0.03,99.76,0.06,0.07,0.11,147139,0.03,99.74,0.06,0.1,0.1,185118,0.03,99.82,0.03,0.1,0.05,55541,0.02,99.73,0.06,0.11,0.1,169592,0.03,99.7,0.06,0.12,0.12,127994,0.03,99.72,0.05,0.12,0.1,169433,0.03,99.85,0.02,0.1,0.03,65017,0.02,99.75,0.06,0.09,0.1,211145,0.03,99.85,0.03,0.08,0.04,31253,0.02,R1_Ribp_UVp
69,0.08,99.57,0.1,0.25,144742,0.05,0.06,99.64,0.11,0.19,147191,0.04,0.07,99.63,0.1,0.2,185253,0.04,0.02,99.89,0.02,0.08,55566,0.01,0.06,99.62,0.11,0.2,169692,0.04,0.08,99.6,0.11,0.21,128075,0.04,0.06,99.58,0.1,0.26,169478,0.05,0.02,99.89,0.01,0.08,65055,0.01,0.06,99.61,0.11,0.23,211339,0.04,0.01,99.91,0.01,0.07,31275,0.01,R1_Ribp_UVp
70,0.04,99.64,0.02,0.3,144776,0.04,0.03,99.85,0.02,0.1,147224,0.02,0.02,99.84,0.02,0.12,185316,0.02,0.01,99.92,0.01,0.06,55576,0.01,0.02,99.85,0.03,0.1,169738,0.02,0.03,99.84,0.02,0.11,128105,0.02,0.04,99.82,0.02,0.12,169501,0.02,0.01,99.95,0.01,0.03,65069,0.01,0.04,99.81,0.03,0.12,211430,0.02,0.02,99.94,0,0.05,31286,0.01,R1_Ribp_UVp
71,0.02,0.17,0.03,99.78,144796,0.02,0.02,0.13,0.02,99.84,147247,0.02,0.02,0.16,0.03,99.79,185353,0.02,0.01,0.19,0.01,99.78,55586,0.02,0.03,0.16,0.02,99.8,169773,0.02,0.03,0.19,0.02,99.77,128135,0.03,0.02,0.19,0.02,99.77,169516,0.03,0.02,0.12,0.02,99.84,65082,0.02,0.03,0.15,0.02,99.8,211458,0.02,0.02,0.12,0.01,99.85,31291,0.02,R1_Ribp_UVp
72,0.02,0.18,0.02,99.77,144831,0.03,0.01,0.12,0.01,99.86,147261,0.02,0.01,0.13,0.02,99.84,185394,0.02,0,0.16,0,99.84,55592,0.02,0.01,0.13,0.02,99.84,169811,0.02,0.01,0.13,0.03,99.83,128158,0.02,0.02,0.16,0.01,99.81,169530,0.02,0,0.11,0.03,99.86,65108,0.02,0.02,0.14,0.03,99.81,211501,0.02,0,0.1,0.01,99.89,31299,0.01,R1_Ribp_UVp
73,0.02,0.15,0.01,99.82,144849,0.02,0.01,0.05,0.01,99.93,147275,0.01,0.01,0.1,0.01,99.88,185425,0.01,0,0.1,0.01,99.89,55604,0.01,0.01,0.1,0.01,99.88,169837,0.01,0,0.11,0.01,99.87,128178,0.01,0.01,0.12,0.01,99.86,169541,0.02,0.01,0.11,0.01,99.87,65134,0.02,0.01,0.1,0.01,99.87,211534,0.02,0.01,0.14,0.01,99.84,31309,0.02,R1_Ribp_UVp
74,0.13,0.02,99.7,0.15,144875,0.03,0.09,0.03,99.66,0.22,147286,0.04,0.07,0.02,99.63,0.28,185459,0.04,0.06,0.01,99.77,0.17,55615,0.03,0.07,0.02,99.69,0.22,169868,0.03,0.08,0.03,99.51,0.38,128197,0.05,0.09,0.02,99.72,0.17,169562,0.03,0.08,0.02,99.8,0.1,65150,0.02,0.08,0.03,99.67,0.22,211586,0.04,0.09,0.01,99.78,0.12,31319,0.03,R1_Ribp_UVp
75,0.02,0.13,0.01,99.84,144923,0.02,0.02,0.08,0.01,99.9,147306,0.01,0.02,0.11,0.01,99.87,185531,0.02,0.03,0.09,0.02,99.86,55637,0.02,0.02,0.1,0.01,99.87,169970,0.02,0.02,0.09,0.01,99.88,128256,0.01,0.01,0.12,0.01,99.86,169597,0.02,0.02,0.09,0.01,99.88,65177,0.01,0.03,0.11,0.01,99.86,211696,0.02,0.04,0.09,0.01,99.87,31332,0.02,R1_Ribp_UVp
76,0.15,0.02,99.67,0.17,144943,0.04,0.19,0.02,99.59,0.19,147325,0.04,0.1,0.02,99.65,0.22,185567,0.04,0.08,0.01,99.81,0.11,55645,0.02,0.08,0.03,99.67,0.22,170005,0.04,0.09,0.03,99.58,0.31,128292,0.04,0.1,0.02,99.69,0.19,169606,0.03,0.07,0.02,99.84,0.07,65203,0.02,0.11,0.02,99.65,0.22,211753,0.04,0.08,0.02,99.82,0.08,31337,0.02,R1_Ribp_UVp
77,0.03,99.64,0.04,0.3,145012,0.04,0.03,99.77,0.03,0.17,147357,0.03,0.03,99.75,0.03,0.19,185709,0.03,0.01,99.81,0.02,0.15,55658,0.02,0.03,99.77,0.03,0.17,170123,0.03,0.03,99.68,0.03,0.26,128376,0.03,0.03,99.76,0.03,0.18,169654,0.03,0.02,99.78,0.04,0.16,65241,0.03,0.03,99.75,0.04,0.18,211907,0.03,0.02,99.82,0.02,0.14,31357,0.02,R1_Ribp_UVp
78,0.24,0.04,99.58,0.15,145038,0.05,0.26,0.03,99.56,0.16,147376,0.05,0.21,0.05,99.58,0.16,185757,0.04,0.14,0.03,99.8,0.04,55668,0.02,0.2,0.04,99.58,0.18,170157,0.05,0.19,0.06,99.57,0.18,128401,0.05,0.21,0.04,99.57,0.19,169673,0.05,0.16,0.02,99.78,0.04,65251,0.02,0.22,0.04,99.56,0.18,211959,0.05,0.15,0.01,99.78,0.06,31366,0.03,R1_Ribp_UVp
79,0.02,99.79,0.03,0.16,145073,0.02,0.01,99.84,0.02,0.12,147407,0.02,0.02,99.86,0.02,0.09,185804,0.02,0.01,99.87,0.02,0.1,55677,0.02,0.02,99.86,0.03,0.09,170201,0.02,0.03,99.83,0.04,0.1,128433,0.02,0.03,99.84,0.03,0.11,169711,0.02,0.01,99.93,0.01,0.05,65280,0.01,0.02,99.83,0.04,0.11,212004,0.02,0.01,99.9,0.01,0.09,31378,0.01,R1_Ribp_UVp
80,0.02,99.84,0.01,0.13,145096,0.02,0.02,99.92,0.01,0.05,147423,0.01,0.03,99.89,0.01,0.06,185840,0.01,0,99.94,0,0.06,55687,0.01,0.02,99.9,0.01,0.07,170230,0.01,0.02,99.9,0.01,0.07,128448,0.01,0.01,99.91,0.01,0.06,169742,0.01,0.01,99.94,0,0.04,65300,0.01,0.02,99.9,0.02,0.07,212026,0.01,0.02,99.9,0,0.08,31390,0.01,R1_Ribp_UVp
81,0.01,0.15,0.02,99.82,145127,0.02,0.01,0.12,0.02,99.85,147448,0.02,0.02,0.15,0.02,99.82,185872,0.02,0.01,0.15,0.01,99.83,55708,0.02,0.01,0.12,0.01,99.85,170244,0.02,0.01,0.15,0.01,99.82,128462,0.02,0.01,0.14,0.02,99.83,169753,0.02,0.01,0.1,0.01,99.88,65312,0.01,0.01,0.12,0.02,99.85,212045,0.02,0.02,0.16,0,99.82,31399,0.02,R1_Ribp_UVp
82,0.06,0.01,99.88,0.05,145164,0.01,0.03,0.01,99.9,0.06,147473,0.01,0.06,0.01,99.86,0.07,185921,0.02,0.07,0.01,99.89,0.03,55724,0.01,0.05,0.01,99.85,0.08,170269,0.02,0.06,0.01,99.83,0.1,128485,0.02,0.05,0.01,99.88,0.06,169774,0.01,0.04,0.01,99.92,0.03,65338,0.01,0.06,0.01,99.86,0.07,212081,0.02,0.05,0.01,99.91,0.03,31411,0.01,R1_Ribp_UVp
83,0.08,0.27,0.1,99.56,145203,0.05,0.07,0.23,0.1,99.61,147496,0.04,0.08,0.22,0.11,99.59,185967,0.04,0.02,0.19,0.04,99.74,55733,0.03,0.07,0.19,0.1,99.64,170303,0.04,0.08,0.21,0.12,99.59,128511,0.04,0.06,0.27,0.1,99.57,169810,0.05,0.02,0.17,0.05,99.76,65362,0.03,0.08,0.2,0.11,99.61,212118,0.04,0.01,0.21,0.04,99.74,31422,0.03,R1_Ribp_UVp
84,0.02,0.15,0.02,99.8,145223,0.02,0.01,0.04,0.02,99.92,147519,0.01,0.01,0.12,0.03,99.84,186001,0.02,0.01,0.15,0.01,99.82,55742,0.02,0.01,0.11,0.02,99.86,170319,0.02,0.02,0.11,0.03,99.85,128528,0.02,0.01,0.14,0.02,99.83,169825,0.02,0.01,0.14,0.02,99.83,65386,0.02,0.02,0.13,0.02,99.83,212141,0.02,0.01,0.13,0.03,99.83,31426,0.02,R1_Ribp_UVp
85,0.04,0.17,0.02,99.78,145254,0.03,0.01,0.08,0.01,99.9,147542,0.01,0.02,0.13,0.01,99.84,186036,0.02,0.01,0.16,0.01,99.81,55764,0.02,0.03,0.13,0.01,99.83,170346,0.02,0.03,0.14,0.02,99.8,128544,0.02,0.02,0.15,0.01,99.81,169842,0.02,0.02,0.1,0,99.87,65408,0.01,0.02,0.12,0.01,99.84,212174,0.02,0.02,0.12,0.01,99.85,31432,0.02,R1_Ribp_UVp
86,0.02,0.12,0.02,99.84,145274,0.02,0.01,0.04,0.02,99.93,147563,0.01,0.01,0.08,0.02,99.89,186063,0.01,0.01,0.08,0.01,99.9,55775,0.01,0.01,0.07,0.02,99.9,170358,0.01,0.01,0.08,0.02,99.89,128556,0.01,0.01,0.1,0.02,99.88,169859,0.01,0,0.08,0,99.92,65422,0.01,0.01,0.07,0.02,99.9,212191,0.01,0.01,0.07,0.01,99.91,31433,0.01,R1_Ribp_UVp
87,99.77,0.01,0.14,0.08,145298,0.03,99.83,0.02,0.07,0.08,147586,0.02,99.78,0.01,0.11,0.1,186094,0.02,99.83,0.01,0.12,0.03,55805,0.02,99.8,0.02,0.1,0.09,170377,0.02,99.76,0.02,0.09,0.13,128576,0.03,99.8,0.02,0.13,0.05,169887,0.02,99.84,0.01,0.12,0.03,65439,0.02,99.8,0.02,0.11,0.07,212224,0.02,99.84,0.01,0.1,0.04,31446,0.02,R1_Ribp_UVp
88,0.02,0.16,0,99.82,145341,0.02,0.01,0.11,0.01,99.87,147623,0.02,0.01,0.1,0.01,99.88,186151,0.01,0.01,0.09,0.01,99.88,55823,0.01,0.01,0.09,0,99.89,170423,0.01,0.01,0.1,0.01,99.88,128610,0.01,0.01,0.11,0,99.88,169923,0.01,0.01,0.11,0,99.87,65457,0.01,0.01,0.11,0,99.87,212254,0.01,0,0.11,0,99.88,31467,0.01,R1_Ribp_UVp
89,99.77,0.04,0.14,0.06,145392,0.03,99.79,0.04,0.11,0.05,147666,0.03,99.77,0.05,0.11,0.07,186198,0.03,99.78,0.03,0.14,0.04,55844,0.03,99.8,0.04,0.1,0.07,170471,0.02,99.77,0.04,0.09,0.09,128640,0.03,99.79,0.05,0.12,0.04,169961,0.02,99.83,0.03,0.11,0.03,65488,0.02,99.78,0.04,0.11,0.07,212305,0.03,99.86,0.04,0.07,0.02,31477,0.02,R1_Ribp_UVp
90,0.11,99.35,0.12,0.42,145425,0.07,0.09,99.63,0.12,0.16,147694,0.04,0.1,99.61,0.1,0.19,186260,0.04,0.03,99.85,0.02,0.1,55862,0.02,0.08,99.09,0.12,0.7,170517,0.08,0.12,99.55,0.13,0.2,128669,0.05,0.07,99.63,0.12,0.18,169994,0.04,0.04,99.89,0.01,0.06,65514,0.01,0.08,99.59,0.14,0.19,212354,0.04,0.04,99.87,0.02,0.07,31486,0.02,R1_Ribp_UVp
91,0.1,99.42,0.03,0.44,145473,0.06,0.05,99.74,0.03,0.18,147735,0.03,0.05,99.73,0.02,0.19,186310,0.03,0.05,99.83,0.01,0.11,55895,0.02,0.05,99.71,0.03,0.21,170560,0.03,0.06,99.7,0.03,0.21,128700,0.03,0.05,99.68,0.04,0.23,170035,0.04,0.03,99.54,0.01,0.41,65538,0.04,0.06,99.68,0.04,0.22,212402,0.04,0.04,99.83,0.02,0.11,31511,0.02,R1_Ribp_UVp
92,0.08,99.62,0.02,0.28,145523,0.04,0.04,99.83,0.02,0.11,147780,0.02,0.06,99.79,0.02,0.13,186375,0.02,0.04,99.87,0.01,0.08,55931,0.02,0.09,99.77,0.02,0.12,170605,0.03,0.07,99.79,0.03,0.11,128726,0.02,0.08,99.78,0.03,0.12,170079,0.03,0.05,99.87,0.01,0.07,65563,0.02,0.07,99.8,0.02,0.11,212461,0.02,0.05,99.88,0.01,0.07,31526,0.01,R1_Ribp_UVp
93,0.12,99.61,0.09,0.19,145557,0.04,0.1,99.68,0.07,0.15,147817,0.04,0.12,99.63,0.09,0.17,186418,0.04,0.04,99.86,0,0.1,55950,0.02,0.13,99.63,0.09,0.16,170638,0.04,0.11,99.66,0.07,0.16,128750,0.04,0.12,99.62,0.09,0.17,170104,0.04,0.04,99.86,0.02,0.09,65592,0.02,0.12,99.65,0.08,0.15,212497,0.04,0.07,99.83,0,0.1,31538,0.02,R1_Ribp_UVp
94,0.03,99.65,0.01,0.31,145591,0.04,0.02,99.87,0.01,0.1,147848,0.02,0.02,99.88,0.01,0.09,186454,0.01,0.02,99.93,0,0.06,55962,0.01,0.04,99.86,0.01,0.09,170673,0.02,0.02,99.87,0.02,0.09,128769,0.02,0.02,99.89,0.01,0.08,170126,0.01,0.01,99.93,0,0.06,65599,0.01,0.02,99.88,0.01,0.08,212539,0.01,0.02,99.88,0.02,0.08,31551,0.01,R1_Ribp_UVp
95,0.08,0.23,0.09,99.6,145635,0.04,0.08,0.19,0.09,99.64,147876,0.04,0.07,0.22,0.08,99.62,186504,0.04,0.01,0.19,0,99.8,55980,0.02,0.09,0.18,0.09,99.64,170712,0.04,0.07,0.23,0.09,99.6,128797,0.04,0.07,0.22,0.11,99.6,170145,0.04,0.01,0.13,0.01,99.84,65619,0.02,0.08,0.17,0.1,99.65,212580,0.04,0.01,0.13,0.01,99.85,31567,0.02,R1_Ribp_UVp
96,0.04,0.24,0.02,99.7,145692,0.03,0.02,0.2,0.02,99.76,147925,0.03,0.03,0.19,0.02,99.77,186567,0.03,0.02,0.21,0.01,99.76,56011,0.03,0.03,0.14,0.01,99.82,170758,0.02,0.03,0.2,0.02,99.76,128834,0.03,0.03,0.22,0.02,99.74,170177,0.03,0.03,0.17,0.01,99.79,65662,0.02,0.03,0.16,0.01,99.8,212637,0.02,0.03,0.15,0,99.82,31582,0.02,R1_Ribp_UVp
